,Unnamed: 0,nelx,nely,did converge,Youngs modulus,circle 1 x,circle 1 y,circle 1 radius,force 1 x,force 1 y,circle 2 x,circle 2 y,circle 2 radius,force 1 x.1,force 2 y,circle 3 x,circle 3 y,circle 3 radius,force 3 x,force 3 y,True Mass,True Compliance,True Stress,Predicted Mass,Predicted Stress,Predicted Compliance
0,0,100,50,True,487591655802.39575,0.3,0.77,0.1167388763944934,-3729.9691286201314,562.8720576965053,1.72,0.25,0.1441373910360686,-1159.7455866531952,12295.48084837465,1.56,0.78,0.1146215828872711,4889.714715273327,-12858.352906071155,470.18910712742775,-0.9722621495945136,3707448.892518955,629.3316,-0.2997296266290349,53075836.663068525
1,1,100,50,True,174039062779.6371,1.04,0.74,0.153801995448855,-210.34901914503791,-16916.908929485493,1.7,0.41,0.1859968434168902,3885.786731536553,10098.404489322013,0.48,0.32,0.156729258336872,-3675.437712391516,6818.50444016348,1778.7620961163807,-1.243196867747923,2754901.6715698866,678.83844,1.7737345818236063,48071104.61105248
2,2,100,50,True,164138828641.18005,0.24,0.44,0.1250459987478155,6105.430303002175,10129.523495453175,1.74,0.26,0.154789223978324,-5609.903356883651,3312.267388844112,1.76,0.76,0.1289035442560603,-495.5269461185244,-13441.79088429729,1111.1914025262772,5.509610390998094,41175121.75637378,579.4679,1.227947683217003,43550113.2209198
3,3,100,50,True,130414757525.42416,0.52,0.76,0.1302613586921929,-7668.486445297505,-5303.2987275031255,0.93,0.67,0.1456327033391359,5781.481207501936,-6142.272229120419,1.45,0.76,0.1259335429659471,1887.0052377955683,11445.570956623547,386.0195226899964,0.0255611759442956,935513.6035389062,405.15668,-0.054346608591816,2814649.6865101303
4,4,100,50,True,158704609513.64212,0.21,0.68,0.0855962161509288,7467.99446685197,-7444.897350409349,1.48,0.27,0.1309198673989676,2900.2973609678543,-10342.007725180125,1.31,0.59,0.1589628675129273,-10368.291827819829,17786.90507558947,452.79520691958805,0.4278013820213808,4981001.976345937,294.56213,-19.737989743972992,46548633.03512657
5,5,100,50,False,397752130762.2261,0.65,0.71,0.1720322916292349,9846.569500627627,4437.597667465547,1.16,0.71,0.1691508853719222,15425.920144940565,-6772.820950433869,1.31,0.3,0.1801111938751669,-25272.489645568192,2335.2232829683207,489.39015511568846,0.0855673001843438,4973630.314603378,489.29987,-0.6800902480042836,139443712.47995293
6,6,100,50,False,171481966684.73734,0.24,0.77,0.1148678942003345,7797.149258338805,-1049.495833193274,1.47,0.31,0.189795453405983,46.02051121825959,13667.438379131172,1.57,0.73,0.1555970769127833,-7843.169769557065,-12617.942545937898,730.3812418370186,0.0771658288436273,874760.2412442388,811.81006,-0.7610835795957358,17688731.32341323
7,7,100,50,True,204734473217.70203,0.91,0.58,0.1416537608435321,3104.2340206777967,-5978.148151403258,0.26,0.77,0.1212877018159146,-1219.5584609609373,-10115.414604977106,1.76,0.76,0.1332019539449347,-1884.67555971686,16093.562756380365,466.2575715067369,0.2198497471363651,2736269.158271021,649.1765,-3.699514958650368,35488078.0688717
8,8,100,50,True,357135136513.1499,0.95,0.75,0.1395903120265591,9417.605056282846,-7858.977329200557,1.38,0.77,0.1240054585028646,5324.987520354888,-2523.6257226181365,1.76,0.76,0.1317495013584518,-14742.59257663773,10382.603051818693,313.9470131002328,0.0545248543981279,2992853.072038475,365.73032,-0.0317884350825596,2630936.199131163
9,0,100,50,True,487591655802.39575,0.3,0.77,0.1167388763944934,-3729.9691286201314,562.8720576965053,1.72,0.25,0.1441373910360686,-1159.7455866531952,12295.48084837465,1.56,0.78,0.1146215828872711,4889.714715273327,-12858.352906071155,470.18910712742775,-0.9722621495945136,3707448.892518955,629.3316,-0.2997296266290349,53075836.663068525
10,1,100,50,True,174039062779.6371,1.04,0.74,0.153801995448855,-210.34901914503791,-16916.908929485493,1.7,0.41,0.1859968434168902,3885.786731536553,10098.404489322013,0.48,0.32,0.156729258336872,-3675.437712391516,6818.50444016348,1778.7620961163807,-1.243196867747923,2754901.6715698866,678.83844,1.7737345818236063,48071104.61105248
11,2,100,50,True,164138828641.18005,0.24,0.44,0.1250459987478155,6105.430303002175,10129.523495453175,1.74,0.26,0.154789223978324,-5609.903356883651,3312.267388844112,1.76,0.76,0.1289035442560603,-495.5269461185244,-13441.79088429729,1111.1914025262772,5.509610390998094,41175121.75637378,579.4679,1.227947683217003,43550113.2209198
12,3,100,50,True,130414757525.42416,0.52,0.76,0.1302613586921929,-7668.486445297505,-5303.2987275031255,0.93,0.67,0.1456327033391359,5781.481207501936,-6142.272229120419,1.45,0.76,0.1259335429659471,1887.0052377955683,11445.570956623547,386.0195226899964,0.0255611759442956,935513.6035389062,405.15668,-0.054346608591816,2814649.6865101303
13,4,100,50,True,158704609513.64212,0.21,0.68,0.0855962161509288,7467.99446685197,-7444.897350409349,1.48,0.27,0.1309198673989676,2900.2973609678543,-10342.007725180125,1.31,0.59,0.1589628675129273,-10368.291827819829,17786.90507558947,452.79520691958805,0.4278013820213808,4981001.976345937,294.56213,-19.737989743972992,46548633.03512657
14,5,100,50,False,397752130762.2261,0.65,0.71,0.1720322916292349,9846.569500627627,4437.597667465547,1.16,0.71,0.1691508853719222,15425.920144940565,-6772.820950433869,1.31,0.3,0.1801111938751669,-25272.489645568192,2335.2232829683207,489.39015511568846,0.0855673001843438,4973630.314603378,489.29987,-0.6800902480042836,139443712.47995293
15,6,100,50,False,171481966684.73734,0.24,0.77,0.1148678942003345,7797.149258338805,-1049.495833193274,1.47,0.31,0.189795453405983,46.02051121825959,13667.438379131172,1.57,0.73,0.1555970769127833,-7843.169769557065,-12617.942545937898,730.3812418370186,0.0771658288436273,874760.2412442388,811.81006,-0.7610835795957358,17688731.32341323
16,7,100,50,True,204734473217.70203,0.91,0.58,0.1416537608435321,3104.2340206777967,-5978.148151403258,0.26,0.77,0.1212877018159146,-1219.5584609609373,-10115.414604977106,1.76,0.76,0.1332019539449347,-1884.67555971686,16093.562756380365,466.2575715067369,0.2198497471363651,2736269.158271021,649.1765,-3.699514958650368,35488078.0688717
17,8,100,50,True,357135136513.1499,0.95,0.75,0.1395903120265591,9417.605056282846,-7858.977329200557,1.38,0.77,0.1240054585028646,5324.987520354888,-2523.6257226181365,1.76,0.76,0.1317495013584518,-14742.59257663773,10382.603051818693,313.9470131002328,0.0545248543981279,2992853.072038475,365.73032,-0.0317884350825596,2630936.199131163
18,9,100,50,True,147422867697.42908,1.21,0.22,0.1068842091364716,1762.7637685740722,-16677.378598354328,1.25,0.7,0.1820575161810194,-7013.4561624087055,-9779.12045030235,1.62,0.77,0.1191932099591843,5250.6923938346345,26456.499048656675,376.86713853354905,0.3144958508083881,9578825.82264033,309.1435,-25.60435233510774,78892094.19666286
